 27-04-2024 21:53:57, GPU temperature     ,GPU usage (%)          ,Memory usage  (%)    ,Power percent  (%)   ,Power (W)     ,Fan speed (%)       ,Fan tachometer(RPM)   ,CPU temperature  (C )   ,CPU usage (%)        ,CPU power (W)         ,Framerate (FPS)         ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:05:06,57,98,5803.898,70,109.353,55,1352,100,94.832,17.319,43.2,20.8,23.1,23.5
 27-04-2024 22:05:07,56,96,5803.898,68,105.735,55,1357,100,100,17.247,49.8,20.8,23.1,23.5
 27-04-2024 22:05:08,55,85,5811.848,56,95.433,55,1359,99,100,17.386,44.3,20.8,23.1,23.5
 27-04-2024 22:05:09,55,83,5795.691,56,83.094,54,1356,100,100,17.379,41.1,20.8,23.1,23.5
 27-04-2024 22:05:10,55,81,5807.691,56,71.868,54,1359,100,100,17.709,42.2,20.8,23.1,23.5
 27-04-2024 22:05:11,54,78,5819.441,60,99.632,54,1354,100,100,17.426,34.9,20.8,23.1,23.5
 27-04-2024 22:05:12,56,100,5818.754,69,103.291,54,1354,100,100,17.238,34.4,20.8,23.1,23.5
 27-04-2024 22:05:13,56,95,5818.754,69,100.731,54,1358,100,100,17.288,42.9,20.8,23.1,23.5
 27-04-2024 22:05:14,55,100,5827.75,56,106.359,55,1358,100,100,17.404,35.4,20.8,23.1,23.5
 27-04-2024 22:05:15,54,40,5820.531,64,102.362,55,1354,100,100,17.645,34.4,20.8,23.1,23.5
 27-04-2024 22:05:16,56,100,5810.984,71,101.339,55,1355,100,99.981,17.6,40.9,20.8,23.1,23.5
 27-04-2024 22:05:17,57,100,5811.984,71,108.59,55,1355,100,100,17.578,47.2,20.8,23.1,23.5
 27-04-2024 22:05:18,57,100,5812.063,68,104.953,55,1359,100,100,17.586,46.2,20.8,23.1,23.5
 27-04-2024 22:05:19,57,100,5813.188,69,98.37,56,1374,100,100,16.95,47.2,20.8,23.1,23.5
 27-04-2024 22:05:20,56,98,5824.188,67,104.909,56,1376,100,100,17.042,43.2,20.8,23.1,23.5
 27-04-2024 22:05:21,57,100,5814.813,69,102.489,56,1373,100,100,16.887,49.9,20.8,23.1,23.5
 27-04-2024 22:05:22,57,96,5828.281,65,103.437,56,1384,100,100,17.12,48.9,20.8,23.1,23.5
 27-04-2024 22:05:23,56,100,5815.469,67,106.519,56,1390,100,100,17.289,35.4,20.8,23.1,23.5
 27-04-2024 22:05:24,56,100,5813.75,67,96.654,55,1391,100,100,17.053,43.6,20.8,23.1,23.5
 27-04-2024 22:05:25,54,96,5812.281,26,40.589,55,1384,100,100,17.574,42.9,20.8,23.1,23.5
 27-04-2024 22:05:26,56,100,5819.234,70,106.56,55,1377,100,100,17.629,49.9,20.8,23.1,23.5
 27-04-2024 22:05:27,57,98,5815.063,67,106.372,55,1379,100,100,17.112,49.3,20.8,23.1,23.5
 27-04-2024 22:05:28,56,98,5821.844,64,98.745,55,1375,99,100,17.061,46.2,20.8,23.1,23.5
 27-04-2024 22:05:29,57,97,5823.063,67,105.031,55,1381,100,100,17.063,46.9,20.8,23.1,23.5
 27-04-2024 22:05:30,56,81,5816.344,66,90.203,55,1373,100,100,16.847,48.1,20.8,23.1,23.5
 27-04-2024 22:05:31,57,98,5815.219,69,97.683,55,1380,100,100,17.097,49.1,20.8,23.1,23.5
 27-04-2024 22:05:32,57,99,5815.219,70,94.098,55,1374,100,88.655,16.596,53.1,20.8,23.1,23.5
 27-04-2024 22:05:33,57,99,5803.219,69,98.188,55,1365,100,63.853,17.266,52.2,20.8,23.1,23.5
 27-04-2024 22:05:34,53,38,5824.25,37,92.045,56,1376,100,87.569,16.639,40.8,20.8,23.1,23.5
 27-04-2024 22:05:35,57,100,5820.25,72,113.15,56,1373,100,100,17.012,39,20.8,23.1,23.5
 27-04-2024 22:05:36,57,100,5824.25,70,100.001,56,1377,100,100,16.719,45.2,20.8,23.1,23.5
 27-04-2024 22:05:37,57,100,5824.156,70,102.677,56,1371,100,100,17.348,48.2,20.8,23.1,23.5
 27-04-2024 22:05:38,56,89,5807.906,63,95.393,56,1391,100,100,17.187,49.1,20.8,23.1,23.5
 27-04-2024 22:05:39,57,99,5808.219,68,98.892,55,1387,100,100,17.088,47.9,20.8,23.1,23.5
 27-04-2024 22:05:40,56,94,5745.031,61,98.824,55,1383,100,100,17,51.8,20.8,23.1,23.5
 27-04-2024 22:05:41,56,94,5745.031,66,103.27,55,1376,100,100,16.985,58,20.8,23.1,23.5
 27-04-2024 22:05:42,56,89,5747.031,61,97.908,55,1378,100,100,16.097,56.8,20.8,23.1,23.5
 27-04-2024 22:05:43,56,73,5747.781,60,73.478,55,1375,100,100,16.198,55.1,20.8,23.1,23.5
 27-04-2024 22:05:44,49,0,5758.594,29,52.74,55,1384,100,99.998,16.424,14.7,20.8,23.1,23.5
 27-04-2024 22:05:45,56,95,5738.484,66,92.365,55,1376,100,98.733,17.131,45.1,20.8,23.1,23.5
 27-04-2024 22:05:46,54,80,5798.172,56,74.637,55,1381,100,100,17.123,38.9,20.8,23.1,23.5
 27-04-2024 22:05:47,55,78,5798.172,58,85.189,55,1375,100,100,16.839,39,20.8,23.1,23.5
 27-04-2024 22:05:48,56,98,5825.563,71,100.765,55,1370,100,100,16.894,50.9,20.8,23.1,23.5
 27-04-2024 22:05:49,54,68,5796.004,42,49.071,55,1362,100,99.995,17.339,40.3,20.8,23.1,23.5
 27-04-2024 22:05:50,56,95,5843.695,66,95.704,55,1367,100,100,17.166,37.3,20.8,23.1,23.5
 27-04-2024 22:05:51,55,93,5835.539,52,88.405,55,1379,100,100,17.668,50.8,20.8,23.1,23.5
 27-04-2024 22:05:52,55,84,5815.289,42,53.147,55,1367,100,99.993,17.801,54.8,20.8,23.1,23.5
 27-04-2024 22:05:53,56,100,5827.102,51,94.76,55,1367,100,100,17.326,35.1,20.8,23.1,23.5
 27-04-2024 22:05:54,57,100,5821.602,69,107.754,55,1366,100,100,17.591,37.1,20.8,23.1,23.5
 27-04-2024 22:05:55,57,100,5821.602,69,104.552,55,1370,100,100,16.315,46.9,20.8,23.1,23.5
